date,team,opponent,location,result,overtimes,points,opp_points,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,fouls,disqualifications,technical_fouls,opp_field_goals_made,opp_field_goals_attempted,opp_three_point_field_goals_made,opp_three_point_field_goals_attempted,opp_free_throws_made,opp_free_throws_attempted,opp_offensive_rebounds,opp_defensive_rebounds,opp_rebounds,opp_assists,opp_turnovers,opp_steals,opp_blocks,opp_fouls,opp_disqualifications,opp_technical_fouls
11/10/2023,Alabama St.,Iowa,away,L,0,67,98,23,65,6,22,15,20,16,30,46,7,16,5,3,29,0,0,33,72,9,29,23,35,19,29,48,27,6,6,3,15,0,0
11/14/2023,Alabama St.,Oglethorpe,home,W,0,115,51,41,76,12,32,21,27,18,40,58,24,10,15,9,17,0,0,15,56,7,29,14,22,6,21,27,7,20,4,2,16,0,0
11/17/2023,Alabama St.,Memphis,away,L,0,75,92,27,86,10,26,11,15,25,17,42,11,8,12,3,22,0,0,32,61,11,25,17,23,15,35,50,12,18,7,7,14,0,0
11/22/2023,Alabama St.,Samford,away,L,0,67,99,24,69,7,29,12,19,14,20,34,10,12,8,2,16,0,0,36,62,16,35,11,15,7,36,43,26,13,5,1,15,0,0
11/24/2023,Alabama St.,N.C. A&T,neutral,W,0,88,73,34,61,7,16,13,20,11,30,41,16,10,6,1,23,0,0,19,55,8,29,27,32,9,20,29,12,10,6,3,17,0,0
11/25/2023,Alabama St.,Merrimack,neutral,W,1,66,60,20,63,4,20,22,26,11,33,44,11,12,7,2,21,1,0,18,56,5,29,19,24,9,33,42,11,18,9,0,20,2,0
12/03/2023,Alabama St.,MUW,home,W,0,80,60,28,66,10,27,14,19,15,26,41,16,9,8,5,11,0,0,22,58,10,27,6,10,9,25,34,13,17,5,4,18,0,0
12/13/2023,Alabama St.,LSU,away,L,0,56,74,22,61,9,26,3,8,11,19,30,10,13,5,1,18,0,0,25,48,9,23,15,23,7,30,37,11,14,9,3,16,0,0
12/19/2023,Alabama St.,Southern California,home,L,0,59,79,23,70,8,27,5,9,11,28,39,13,10,7,7,20,1,0,24,60,10,27,21,28,13,39,52,16,11,4,6,14,0,0
12/22/2023,Alabama St.,Auburn,away,L,0,62,82,22,56,4,18,14,16,6,21,27,7,18,14,5,24,0,0,25,54,6,24,26,32,11,30,41,14,18,11,5,13,0,0
12/29/2023,Alabama St.,South Fla.,away,L,0,70,73,26,68,10,24,8,12,17,23,40,14,7,6,2,21,0,0,21,48,14,29,17,21,6,27,33,14,9,3,4,12,0,0
01/02/2024,Alabama St.,Johnson (FL),home,W,0,84,53,37,76,0,17,10,13,14,30,44,9,10,15,5,17,0,0,18,54,7,21,10,17,9,26,35,9,23,4,2,11,0,0
01/06/2024,Alabama St.,Mississippi Val.,away,W,0,54,51,18,53,2,17,16,26,14,24,38,5,11,8,0,18,0,0,17,40,5,13,12,18,4,29,33,8,16,6,4,19,1,0
01/08/2024,Alabama St.,Ark.-Pine Bluff,away,W,0,83,72,29,68,8,26,17,22,4,32,36,18,8,8,3,18,0,0,24,62,7,27,17,21,4,36,40,16,13,6,3,16,0,0
01/11/2024,Alabama St.,Jackson St.,home,L,0,63,73,23,67,10,35,7,9,15,20,35,9,18,14,6,19,0,0,24,51,5,17,20,24,9,30,39,10,20,10,6,12,0,0
01/13/2024,Alabama St.,Alcorn,home,W,0,55,53,21,61,6,27,7,12,15,23,38,9,11,13,5,11,0,0,22,58,4,19,5,9,15,29,44,10,16,3,2,14,0,0
01/15/2024,Alabama St.,Alabama A&M,neutral,W,0,72,55,23,60,9,19,17,21,13,20,33,11,8,11,5,21,1,0,18,45,3,14,16,27,13,26,39,5,21,5,10,19,0,0
01/27/2024,Alabama St.,Prairie View,away,W,0,74,67,24,52,6,17,20,31,8,29,37,8,17,7,3,24,0,0,22,53,6,18,17,27,8,21,29,10,12,9,3,24,0,0
01/29/2024,Alabama St.,Texas Southern,away,L,0,55,56,21,62,4,22,9,11,12,23,35,7,9,8,3,20,0,0,15,42,8,27,18,23,7,29,36,9,16,5,5,14,0,0
02/03/2024,Alabama St.,Bethune-Cookman,home,L,0,68,79,21,66,6,29,20,32,19,24,43,8,15,9,4,16,1,0,23,53,10,25,23,26,7,35,42,10,18,7,8,23,1,0
02/05/2024,Alabama St.,Florida A&M,home,W,0,62,53,22,70,4,20,14,18,21,25,46,5,12,10,7,17,0,0,19,46,5,15,10,21,7,31,38,10,17,6,3,16,0,0
02/10/2024,Alabama St.,Grambling,away,L,0,68,74,25,65,6,25,12,17,18,27,45,6,17,5,5,19,0,0,23,60,6,17,22,32,14,24,38,10,8,10,5,14,0,0
02/12/2024,Alabama St.,Southern U.,away,L,0,62,73,22,53,7,17,11,14,5,23,28,12,12,4,1,20,1,0,23,54,8,23,19,23,8,23,31,17,9,7,6,14,0,0
02/17/2024,Alabama St.,Ark.-Pine Bluff,home,L,0,74,80,26,76,7,42,15,19,17,28,45,8,8,5,3,19,0,0,25,56,13,31,17,26,8,35,43,7,12,5,2,16,1,0
02/19/2024,Alabama St.,Mississippi Val.,home,W,0,61,46,21,57,4,21,15,23,14,26,40,11,10,12,6,17,0,0,14,51,5,17,13,17,13,27,40,8,19,7,6,19,0,0
