Didn't find Card
date,team,opponent,location,result,overtimes,points,opp_points,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,fouls,disqualifications,technical_fouls,opp_field_goals_made,opp_field_goals_attempted,opp_three_point_field_goals_made,opp_three_point_field_goals_attempted,opp_free_throws_made,opp_free_throws_attempted,opp_offensive_rebounds,opp_defensive_rebounds,opp_rebounds,opp_assists,opp_turnovers,opp_steals,opp_blocks,opp_fouls,opp_disqualifications,opp_technical_fouls
11/23/2024,Alabama A&M,Coastal Carolina,home,W,0,77,70,24,56,7,16,22,31,12,23,35,10,11,6,2,25,2,0,21,52,9,23,19,29,17,26,43,12,19,5,0,24,1,0
11/25/2024,Alabama A&M,IU Indy,home,L,0,83,88,26,57,5,25,26,33,12,24,36,13,8,4,4,26,1,0,24,57,12,28,28,32,13,23,36,11,10,5,0,23,2,0
11/30/2024,Alabama A&M,Lipscomb,home,L,0,44,82,16,64,5,21,7,11,13,21,34,11,16,13,4,14,0,0,28,61,14,35,12,15,13,38,51,21,19,13,6,15,0,0
12/15/2024,Alabama A&M,Chattanooga,away,L,0,63,85,24,55,11,21,4,13,9,17,26,11,10,7,1,21,1,0,25,49,14,32,21,24,9,23,32,19,10,6,1,15,0,0
12/18/2024,Alabama A&M,UAB,away,L,0,67,96,23,68,9,30,12,20,21,20,41,13,18,6,8,19,0,0,32,74,7,18,25,30,23,28,51,15,9,10,5,17,0,0
12/21/2024,Alabama A&M,Samford,home,L,0,90,97,29,60,13,27,19,30,9,19,28,18,16,11,1,24,1,0,32,55,14,27,19,27,8,24,32,17,18,9,3,22,0,0
12/28/2024,Alabama A&M,Georgia Tech,away,L,0,49,92,15,72,8,33,11,17,20,19,39,11,19,11,2,17,0,0,33,61,10,21,16,21,10,37,47,27,19,13,8,17,0,0
01/04/2025,Alabama A&M,Ark.-Pine Bluff,home,W,0,89,79,29,59,6,22,25,38,15,21,36,16,18,15,1,25,0,1,26,58,6,17,21,36,17,22,39,10,21,14,2,27,2,0
01/06/2025,Alabama A&M,Mississippi Val.,home,W,0,79,67,30,66,7,27,12,17,21,28,49,18,18,5,6,17,0,1,24,59,7,23,12,18,8,18,26,11,12,8,2,14,0,1
01/11/2025,Alabama A&M,Alcorn,away,L,0,52,62,20,49,5,20,7,10,10,22,32,11,22,2,7,17,0,0,24,57,1,11,13,17,13,20,33,17,16,8,0,17,0,0
01/13/2025,Alabama A&M,Jackson St.,away,L,3,93,103,30,74,12,32,21,32,18,35,53,16,31,10,9,23,1,0,32,82,10,26,29,39,15,26,41,15,15,19,5,23,2,0
01/18/2025,Alabama A&M,Alabama St.,home,L,0,65,69,21,62,9,33,14,20,17,24,41,12,15,4,8,21,1,0,23,67,6,25,17,25,20,27,47,10,10,8,1,15,0,0
01/25/2025,Alabama A&M,Texas Southern,home,L,1,78,82,23,68,10,31,22,32,15,25,40,11,18,11,1,23,0,0,26,53,8,21,22,35,9,32,41,18,22,10,5,21,1,0
01/27/2025,Alabama A&M,Prairie View,home,W,0,98,82,31,67,9,32,27,32,16,25,41,18,20,10,3,23,1,0,30,63,6,17,16,25,12,20,32,18,20,11,0,20,0,0
02/01/2025,Alabama A&M,Florida A&M,away,L,0,79,95,27,60,7,21,18,30,18,19,37,5,12,7,1,21,0,1,30,57,14,28,21,26,12,21,33,17,12,3,1,24,1,1
02/03/2025,Alabama A&M,Bethune-Cookman,away,L,0,75,89,27,65,11,30,10,11,11,16,27,17,11,7,6,21,0,1,31,62,5,21,22,26,18,28,46,23,13,7,2,13,0,1
02/08/2025,Alabama A&M,Southern U.,home,L,0,68,81,20,51,8,24,20,28,8,20,28,10,13,7,4,27,1,0,26,51,11,20,18,37,14,27,41,16,14,5,3,17,1,0
02/10/2025,Alabama A&M,Grambling,home,L,0,61,72,19,57,8,28,15,25,13,18,31,12,13,8,1,24,1,0,22,43,7,17,21,33,6,31,37,14,16,4,1,18,0,0
02/15/2025,Alabama A&M,Mississippi Val.,away,W,0,82,70,24,52,8,20,26,38,14,23,37,11,14,9,3,25,0,0,23,44,5,12,19,33,5,20,25,7,17,8,2,24,2,0
02/17/2025,Alabama A&M,Ark.-Pine Bluff,away,W,0,75,61,27,57,5,24,16,27,12,40,52,10,23,10,4,30,0,0,20,58,1,18,20,36,9,26,35,14,18,16,2,22,0,0
02/22/2025,Alabama A&M,Bethune-Cookman,home,L,0,64,68,23,68,8,34,10,14,14,19,33,14,14,10,6,19,0,1,24,52,5,16,15,23,12,32,44,15,23,4,4,17,0,0
02/24/2025,Alabama A&M,Florida A&M,home,W,0,77,66,23,52,9,20,22,30,12,22,34,18,16,7,3,20,0,1,19,46,10,26,18,24,6,22,28,12,19,9,2,18,0,1
03/01/2025,Alabama A&M,Alabama St.,away,L,0,52,94,19,52,2,16,12,25,10,19,29,5,15,5,3,14,0,0,33,59,12,25,16,17,8,30,38,12,10,9,6,19,0,0
03/06/2025,Alabama A&M,Grambling,away,L,0,51,67,17,52,6,22,11,16,10,13,23,7,14,5,3,15,0,0,26,47,4,10,11,13,4,22,26,12,11,8,5,17,0,0
03/08/2025,Alabama A&M,Southern U.,away,L,0,57,71,21,51,6,20,9,14,8,18,26,16,15,6,6,21,0,0,21,47,8,17,21,27,8,24,32,15,12,9,2,17,0,0
03/11/2025,Alabama A&M,Grambling,neutral,L,0,56,73,17,51,12,25,10,13,7,24,31,12,14,7,3,14,1,0,28,57,9,21,8,11,7,27,34,16,9,11,3,15,0,0
11/05/2024,Arizona St.,Idaho St.,home,W,0,55,48,20,55,7,24,8,12,8,36,44,12,14,6,9,15,0,0,17,67,4,28,10,13,16,30,46,6,9,4,4,16,0,0
11/08/2024,Arizona St.,Santa Clara,neutral,W,0,81,74,24,53,15,36,18,27,11,29,40,18,15,2,5,20,0,0,27,66,10,33,10,16,12,23,35,15,9,11,0,20,0,0
11/10/2024,Arizona St.,Gonzaga,away,L,0,80,88,30,63,9,29,11,12,6,23,29,8,10,5,3,18,1,0,31,62,8,24,18,22,10,28,38,22,8,8,1,10,0,0
11/14/2024,Arizona St.,Grand Canyon,neutral,W,0,87,76,29,54,11,25,18,21,5,22,27,16,15,3,5,21,0,0,26,59,7,17,17,25,11,19,30,13,15,9,3,20,1,0
11/17/2024,Arizona St.,St. Thomas (MN),home,W,0,81,66,27,54,9,22,18,26,11,33,44,18,13,6,6,7,0,0,26,66,11,37,3,5,9,20,29,17,10,9,1,18,0,0
11/20/2024,Arizona St.,Cal Poly,home,W,0,93,89,28,58,10,24,27,41,13,31,44,15,13,9,4,17,1,1,33,64,13,37,10,15,3,21,24,18,12,8,3,29,2,1
11/28/2024,Arizona St.,New Mexico,neutral,W,0,85,82,26,55,9,19,24,32,9,25,34,16,10,5,4,21,0,1,24,63,6,16,28,32,14,24,38,10,11,6,3,26,0,0
11/29/2024,Arizona St.,Saint Mary's (CA),neutral,W,0,68,64,28,61,5,18,7,12,8,26,34,11,10,8,5,12,0,0,25,60,8,17,6,12,13,28,41,10,13,6,7,16,1,0
