date,team,opponent,location,result,overtimes,points,opp_points,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,fouls,disqualifications,technical_fouls,opp_field_goals_made,opp_field_goals_attempted,opp_three_point_field_goals_made,opp_three_point_field_goals_attempted,opp_free_throws_made,opp_free_throws_attempted,opp_offensive_rebounds,opp_defensive_rebounds,opp_rebounds,opp_assists,opp_turnovers,opp_steals,opp_blocks,opp_fouls,opp_disqualifications,opp_technical_fouls
03/04/2023,Alcorn,Ark.-Pine Bluff,away,L,0,66,74,68,5,18,11,18,66,21,30,15,13,16,1,21,1,1,0,49,7,17,17,29,74,29,36,20,23,8,2,19,1,0,0
11/09/2022,American,DePaul,away,L,0,45,96,61,3,20,2,2,45,17,28,10,31,17,4,20,1,0,0,69,6,25,22,32,96,29,50,13,22,23,5,6,1,0,0
11/17/2022,American,George Washington,home,L,0,62,67,51,7,16,11,15,62,28,32,17,21,2,1,22,1,0,0,61,5,18,14,24,67,26,39,10,14,9,1,20,1,0,0
11/20/2022,American,Virginia,home,L,0,60,74,53,5,15,7,10,60,23,30,11,23,4,1,23,1,2,0,75,3,20,13,18,74,22,45,10,12,12,4,16,1,0,0
11/24/2022,American,Notre Dame,neutral,L,0,65,90,67,5,14,10,15,65,19,30,14,16,3,1,27,1,0,0,62,4,13,28,41,90,34,52,10,16,8,4,20,1,1,0
11/25/2022,American,Arizona St.,neutral,L,0,61,70,57,2,15,7,9,61,27,35,13,13,6,2,18,1,0,0,72,2,18,14,20,70,25,48,5,8,8,3,14,1,0,0
11/30/2022,American,Howard,home,L,0,70,83,58,3,18,23,27,70,24,35,16,22,8,0,23,1,0,0,62,7,20,18,25,83,25,36,13,18,10,2,27,1,0,0
12/03/2022,American,George Mason,away,L,0,59,71,58,5,18,4,8,59,18,27,17,26,10,1,19,1,1,0,61,2,12,13,18,71,25,41,10,23,15,4,14,1,0,1
12/06/2022,American,Villanova,away,L,0,42,83,50,1,13,11,14,42,22,26,12,19,4,1,21,1,0,0,59,7,21,14,17,83,31,38,21,13,7,7,13,1,0,0
12/10/2022,American,Marist,home,L,0,41,59,59,3,20,10,16,41,26,43,7,19,7,1,27,1,2,0,50,1,14,20,28,59,30,38,10,14,7,1,16,1,0,0
12/18/2022,American,UMBC,away,W,0,70,68,57,6,18,14,17,70,24,35,17,22,11,0,14,1,0,0,63,8,18,4,4,68,21,32,16,20,9,1,20,1,2,0
12/21/2022,American,Delaware,away,L,0,50,66,63,4,17,10,18,50,20,37,13,23,7,0,22,1,2,0,48,10,20,12,16,66,32,40,16,27,10,3,20,1,2,0
12/30/2022,American,Lafayette,home,W,0,75,65,57,7,20,4,6,75,18,28,23,15,9,2,20,1,0,1,52,6,16,7,14,65,16,27,15,18,8,3,14,1,0,1
01/02/2023,American,Loyola Maryland,away,W,0,52,37,44,3,10,11,16,52,22,29,12,20,11,4,16,1,1,0,52,4,17,1,4,37,21,35,10,24,10,4,15,1,0,0
01/05/2023,American,Holy Cross,home,L,0,45,62,58,4,15,7,10,45,14,28,10,14,12,0,20,1,1,0,44,8,18,12,15,62,29,39,15,19,4,4,11,1,0,0
01/08/2023,American,Boston U.,away,L,0,63,73,56,6,16,11,11,63,20,27,8,19,12,3,24,1,0,0,53,8,16,11,17,73,26,34,16,19,7,4,15,1,1,0
01/11/2023,American,Army West Point,home,L,0,56,77,54,0,9,8,13,56,22,28,13,20,10,2,17,1,0,0,66,12,32,9,14,77,25,44,17,20,8,0,18,1,0,0
